x,y,objectid,mill_name,latitude,longitude,rspo_model,cert,id,prnt_comp,country,state,sub_state,alt_name,address,globalid,Group_Name
4.7553,118.0886,3112,BATURONG,4.7553,118.0886,"RSPO Certified, IP",RSPO Certified,PO1000000118,IOI CORPORATION BERHAD,Malaysia,Sabah,Kunak,unspecified,2-High Confidence,{50229AE3-30D1-45F6-A414-8C1BC47D9D35},IOI CORPORATION
3.30273,103.13789,3113,BUKIT LEELAU,3.30273,103.13789,"RSPO Certified, IP",RSPO Certified,PO1000000120,IOI CORPORATION BERHAD,Malaysia,Pahang,Pekan,unspecified,1-Fully Verified,{AF814EA9-6FB4-4618-86D0-1F8F026D07EA},IOI CORPORATION
5.5553,117.22644,3114,MAYVIN,5.5553,117.22644,"RSPO Certified, IP",RSPO Certified,PO1000000122,IOI CORPORATION BERHAD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{990E6D95-EFC8-4C96-9747-143C3DA3DBFA},IOI CORPORATION
10.54855,-74.18129,3115,EXTRACTORA TEQUENDAMA,10.54855,-74.18129,"RSPO Certified, IP",RSPO Certified,PO1000000123,C.I. TEQUENDAMA S.A.S.,Colombia,Magdalena,Aracataca,unspecified,1-Fully Verified,{557C6E8F-0024-4992-88E3-99A99406972B},DAABON GROUP
3.81663,102.81821,3116,CAROTINO,3.81663,102.81821,"RSPO Certified, IP",RSPO Certified,PO1000000128,CAROTINO SDN BHD,Malaysia,Pahang,Kuantan,unspecified,1-Fully Verified,{46259A3E-AB4C-4251-A3B4-D8433D7E959C},JC CHANG (PTE) LTD
5.83151,117.34046,3117,TERUSAN,5.83151,117.34046,"RSPO Certified, MB",RSPO Certified,PO1000000130,SAPI PLANTATION SDN BHD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{641CD8FE-37F4-4794-A752-1CDDF14286F3},WILMAR
-9.4427,160.2187,3118,TERERE,-9.4427,160.2187,"RSPO Certified, IP",RSPO Certified,PO1000000131,GUADALCANAL PLAINS PALM OIL LTD,Solomon Islands,Guadalcanal,East Ghaobata,unspecified,1-Fully Verified,{0B5F483E-4685-4C98-83E0-BFDB1352716D},NBPOL
-2.37025,112.60261,3119,SUKAJADI SAWIT MEKAR 2,-2.37025,112.60261,"RSPO Certified, IP",RSPO Certified,PO1000000134,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur,unspecified,1-Fully Verified,{5B01724A-6227-476D-BDBF-EC472D997D58},MUSIM MAS
5.73352,117.3874,3120,SAPI,5.73352,117.3874,"RSPO Certified, MB",RSPO Certified,PO1000000137,SAPI PLANTATION SDN BHD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{6CD6DBF2-14F7-4931-AFE5-8D8B05B7216A},WILMAR
5.76671,117.46374,3121,REKA HALUS,5.76671,117.46374,"RSPO Certified, MB",RSPO Certified,PO1000000139,REKA HALUS SDN BHD,Malaysia,Sabah,Beluran,Reka Halus,1-Fully Verified,{6A3A06C7-5EC6-45B9-B98C-8198EC9A6954},WILMAR
0.25854,116.14992,3122,PERDANA,0.25854,116.14992,"RSPO Certified, MB",RSPO Certified,PO1000000143,REA KALTIM,Indonesia,Kalimantan Timur,Kutai Kartanegara,unspecified,1-Fully Verified,{0BEEA60F-59AA-4595-B90E-1711DBE16B79},REA HOLDINGS
-2.5905,112.51128,3123,MUSTIKA SEMBULUH 1,-2.5905,112.51128,"RSPO Certified, MB",RSPO Certified,PO1000000144,MUSTIKA SEMBULUH,Indonesia,Kalimantan Tengah,Kotawaringin Timur,unspecified,1-Fully Verified,{8E3ECD5A-92F8-402A-A1BE-374F6E619DC4},WILMAR
-2.78463,112.50953,3124,KERRY SAWIT INDONESIA 1,-2.78463,112.50953,"RSPO Certified, MB",RSPO Certified,PO1000000146,KERRY SAWIT INDONESIA,Indonesia,Kalimantan Tengah,Seruyan,unspecified,1-Fully Verified,{68600E52-7397-4874-92D4-9F8E8EAACDF3},WILMAR
-0.2232,102.095,3125,UKUI I,-0.2232,102.095,"RSPO Certified, MB",RSPO Certified,PO1000000148,INTI INDOSAWIT SUBUR,Indonesia,Riau,Pelalawan,unspecified,1-Fully Verified,{02469A9C-AD0D-40EA-904E-6B52FD00AC1D},ROYAL GOLDEN EAGLE
3.18686,101.37489,3126,BUKIT KERAYONG (SOU 7),3.18686,101.37489,"RSPO Certified, IP",RSPO Certified,PO1000000155,SIME DARBY PLANTATION BHD,Malaysia,Selangor,Kuala Selangor,unspecified,2-High Confidence,{7C05F5C0-723D-40FD-B2EC-5AD7B41E32CC},SIME DARBY
3.96083,103.30889,3127,JABOR (SOU 12),3.96083,103.30889,"RSPO Certified, MB",RSPO Certified,PO1000000156,SIME DARBY PLANTATION BHD,Malaysia,Trengganu,Kemaman,unspecified,1-Fully Verified,{CC25B659-41DA-4004-821A-6D6158D0B4A6},SIME DARBY
3.39564,101.41761,3128,TENNAMARAM (SOU 6),3.39564,101.41761,"RSPO Certified, IP",RSPO Certified,PO1000000157,SIME DARBY PLANTATION BHD,Malaysia,Selangor,Kuala Selangor,unspecified,1-Fully Verified,{1268A5A6-FC93-4C52-BFDA-DBDB3DA8FB3C},SIME DARBY
5.68686,117.09226,3129,RIBUBONUS,5.68686,117.09226,"RSPO Certified, MB",RSPO Certified,PO1000000169,SABAHMAS PLANTATION SDN BHD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{E9D9CD04-8D38-4FCD-B12C-4BB37B791B67},WILMAR
-2.47817,112.64761,3130,MAJU ANEKA SAWIT,-2.47817,112.64761,"RSPO Certified, IP",RSPO Certified,PO1000000170,MAJU ANEKA SAWIT,Indonesia,Kalimantan Tengah,Kotawaringin Timur,unspecified,1-Fully Verified,{073F1DB7-D23D-4796-BA2C-A169D3198051},MUSIM MAS
-2.31928,103.71164,3131,BERKAT SAWIT SEJATI,-2.31928,103.71164,"RSPO Certified, IP",RSPO Certified,PO1000000180,BERKAT SAWIT SEJATI,Indonesia,Sumatera Selatan,Musi Banyuasin,unspecified,1-Fully Verified,{AF59E9D2-4C60-4757-B492-B1481975A804},MUSIM MAS
4.58679,118.19391,3132,GIRAM (SOU 29),4.58679,118.19391,"RSPO Certified, IP",RSPO Certified,PO1000000182,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Tawau,unspecified,1-Fully Verified,{C9759021-AE22-4CEC-B072-88FFC2B1D6CA},SIME DARBY
2.24354,103.13794,3133,GUNUNG MAS (SOU 21),2.24354,103.13794,"RSPO Certified, IP",RSPO Certified,PO1000000183,SIME DARBY PLANTATION BHD,Malaysia,Johor,Segamat,unspecified,1-Fully Verified,{A0B538FB-49A3-4D15-8F56-FB6638A8D417},SIME DARBY
3.04075,99.58144,3134,UNIT KISARAN,3.04075,99.58144,unspecified,Not RSPO Certified,PO1000000184,BAKRIE SUMATERA PLANTATIONS,Indonesia,Sumatera Utara,Asahan,unspecified,1-Fully Verified,{23EAC1B9-1917-43A5-A137-9882BB54D2ED},BAKRIE
5.3373,118.47364,3135,BUKIT MAS,5.3373,118.47364,"RSPO Certified, IP",RSPO Certified,PO1000000185,HAP SENG PLANTATIONS (RIVER ESTATES) SDN BHD,Malaysia,Sabah,Kinabatangan,unspecified,1-Fully Verified,{3031C8FE-DE70-4026-A700-CDE46B8215C6},HAP SENG PLANTATIONS HOLDINGS BERHAD
2.32425,102.48284,3136,DIAMOND JUBILEE (SOU 18),2.32425,102.48284,"RSPO Certified, IP",RSPO Certified,PO1000000187,SIME DARBY PLANTATION BHD,Malaysia,Melaka,Jasin,unspecified,1-Fully Verified,{96911406-476C-44AE-A5C9-1BF973EA7D50},SIME DARBY
2.18333,102.73333,3137,NORDANAL (SOU 19),2.18333,102.73333,unspecified,Not RSPO Certified,PO1000000189,SIME DARBY PLANTATION BHD,Malaysia,Johor,Muar,unspecified,1-Fully Verified,{3E5D6D45-9C82-4ACA-BBDB-B3E76315F20A},SIME DARBY
2.14873,102.97399,3138,CHAAH (SOU 20),2.14873,102.97399,"RSPO Certified, IP",RSPO Certified,PO1000000190,SIME DARBY PLANTATION BHD,Malaysia,Johor,Batu Pahat,unspecified,1-Fully Verified,{8BD56A64-5922-4740-B355-A34A72D0BC45},SIME DARBY
4.89058,101.0931,3139,ELPHIL (SOU 3),4.89058,101.0931,"RSPO Certified, MB",RSPO Certified,PO1000000191,SIME DARBY PLANTATION BHD,Malaysia,Perak,Kuala Kangsar,unspecified,1-Fully Verified,{6E25F2A7-A32A-4907-84A9-05F85427BE0E},SIME DARBY
4.20269,101.86264,3140,BUKIT PUTERI (SOU 10),4.20269,101.86264,"RSPO Certified, MB",RSPO Certified,PO1000000192,SIME DARBY PLANTATION BHD,Malaysia,Pahang,Lipis,unspecified,1-Fully Verified,{635691D4-492B-418E-AFE6-F65595CD9151},SIME DARBY
3.96923,100.98556,3141,SERI INTAN (SOU 5),3.96923,100.98556,"RSPO Certified, IP",RSPO Certified,PO1000000193,SIME DARBY PLANTATION BHD,Malaysia,Perak,Hilir Perak,unspecified,1-Fully Verified,{69725A6A-9629-407E-95B6-6A81F83A6294},SIME DARBY
1.93114,103.34737,3142,BUKIT BENUT (SOU 22),1.93114,103.34737,"RSPO Certified, IP",RSPO Certified,PO1000000194,SIME DARBY PLANTATION BHD,Malaysia,Johor,Keluang,unspecified,1-Fully Verified,{AE61D83B-B2F1-4893-B8F8-E010E9DB4951},SIME DARBY
3.98897,101.08128,3143,SELABA (SOU 5),3.98897,101.08128,"RSPO Certified, MB",RSPO Certified,PO1000000195,SIME DARBY PLANTATION BHD,Malaysia,Perak,Hilir Perak,Selaba,1-Fully Verified,{7224C260-71C5-4CC3-8477-12C7E4DA2E00},SIME DARBY
6.2038,117.29119,3144,SRI KAMUSAN,6.2038,117.29119,"RSPO Certified, MB",RSPO Certified,PO1000000198,SRI KAMUSAN SDN BHD,Malaysia,Sabah,Beluran,unspecified,1-Fully Verified,{F220FE3B-D621-4EF6-A458-C484359315CE},WILMAR
2.72235,102.911,3145,PUKIN,2.72235,102.911,"RSPO Certified, IP",RSPO Certified,PO1000000199,SYARIKAT PUKIN LADANG KELAPA SAWIT SDN BHD,Malaysia,Pahang,Rompin,unspecified,1-Fully Verified,{F70F55D8-D912-442F-956A-794B1D2BEA62},IOI CORPORATION
2.20455,103.27039,3146,KEKAYAAN,2.20455,103.27039,"RSPO Certified, IP",RSPO Certified,PO1000000201,KUALA LUMPUR KEPONG BERHAD,Malaysia,Johor,Keluang,unspecified,1-Fully Verified,{DC292A98-CD6A-4EE7-B28D-DF89BE9EC172},KUALA LUMPUR KEPONG (KLK)
-2.87414,151.27593,3147,POLIAMBA,-2.87414,151.27593,"RSPO Certified, IP",RSPO Certified,PO1000000202,NEW BRITAIN PALM OIL,Papua New Guinea,New Ireland,Kavieng,unspecified,1-Fully Verified,{DBCC64F2-ECF9-4931-BB04-A40D459DD77F},NBPOL
10.95969,103.90783,3148,ANLONG KROPEU PALM OIL MILL,10.95969,103.90783,"RSPO Certified, IP",RSPO Certified,PO1000000223,"MONG RETHTHY INVESTMENT CAMBODIA OIL PALM CO., LTD",Cambodia,Kaôh Kong,Kampong Seila,unspecified,1-Fully Verified,{6B98A125-3A07-44B0-B138-84BA87AC6136},MRICOP
1.57828,104.10493,3149,SEMENCHU,1.57828,104.10493,unspecified,Not RSPO Certified,PO1000000227,FGV PALM INDUSTRIES SDN BHD,Malaysia,Johor,Kota Tinggi,unspecified,1-Fully Verified,{58039976-8C34-417B-89C5-ECB1CDA50EC4},FGV HOLDINGS BERHAD
1.79274,104.07622,3150,WA HA,1.79274,104.07622,"RSPO Certified, MB",RSPO Certified,PO1000000234,FGV PALM INDUSTRIES SDN BHD,Malaysia,Johor,Kota Tinggi,unspecified,1-Fully Verified,{7D9CB06B-8994-46C8-9013-76CEC2D30746},FGV HOLDINGS BERHAD
1.72054,104.12,3151,LOK HENG,1.72054,104.12,unspecified,Not RSPO Certified,PO1000000235,FGV PALM INDUSTRIES SDN BHD,Malaysia,Johor,Kota Tinggi,unspecified,1-Fully Verified,{92A69BDC-63EC-4EDE-852D-B136CCA1101A},FGV HOLDINGS BERHAD
1.55277,104.1873,3152,ADELA,1.55277,104.1873,"RSPO Certified, MB",RSPO Certified,PO1000000236,FGV PALM INDUSTRIES SDN BHD,Malaysia,Johor,Kota Tinggi,unspecified,1-Fully Verified,{5D9F09F9-BC5B-4BA5-A357-4AECC79CE88B},FGV HOLDINGS BERHAD
3.85389,100.96833,3153,JENDARATA,3.85389,100.96833,"RSPO Certified, IP",RSPO Certified,PO1000000238,UNITED PLANTATIONS BERHAD,Malaysia,Perak,Hilir Perak,unspecified,1-Fully Verified,{4C38F642-7381-4BB4-B8B8-F3E16BE3D09A},UNITED PLANTATIONS
3.72444,101.25583,3154,ULU BASIR,3.72444,101.25583,"RSPO Certified, IP",RSPO Certified,PO1000000240,UNITED PLANTATIONS BERHAD,Malaysia,Perak,Batang Padang,unspecified,1-Fully Verified,{053C3715-F48B-4C38-8D4E-581B29E6A526},UNITED PLANTATIONS
3.74528,101.14611,3155,ULU BERNAM,3.74528,101.14611,"RSPO Certified, IP",RSPO Certified,PO1000000242,UNITED PLANTATIONS BHD,Malaysia,Perak,Hilir Perak,unspecified,1-Fully Verified,{926EF072-C509-41E0-A0A8-4F1A71F3DC81},UNITED PLANTATIONS
4.44389,100.72278,3156,UIE,4.44389,100.72278,"RSPO Certified, IP",RSPO Certified,PO1000000243,UNITED INTERNATIONAL ENTERPRISES (M) SDN BHD,Malaysia,Perak,Manjung,unspecified,1-Fully Verified,{46C69D68-760E-409E-86FC-C84AF4965F1F},UNITED PLANTATIONS
3.92173,102.48953,3157,KOTA GELANGGI,3.92173,102.48953,"RSPO Certified, MB",RSPO Certified,PO1000000254,FGV PALM INDUSTRIES SDN BHD,Malaysia,Pahang,Jerantut,unspecified,1-Fully Verified,{7B1BF2FD-8E55-4ADF-896F-04CBEA2F747D},FGV HOLDINGS BERHAD
3.97082,102.69167,3158,LEPAR UTARA 6,3.97082,102.69167,"RSPO Certified, MB",RSPO Certified,PO1000000255,FGV PALM INDUSTRIES SDN BHD,Malaysia,Pahang,Jerantut,unspecified,1-Fully Verified,{33442C9B-BCE6-4EB7-9938-861A74C13A86},FGV HOLDINGS BERHAD
5.609,117.7899,3159,BORNION,5.609,117.7899,"RSPO Certified, MB",RSPO Certified,PO1000000261,KL-KEPONG (SABAH) SDN BERHAD,Malaysia,Sabah,Kinabatangan,unspecified,1-Fully Verified,{E066EF6E-2998-4424-BC32-61501AAB9512},KUALA LUMPUR KEPONG (KLK)
5.0193,118.5715,3160,RIMMER,5.0193,118.5715,unspecified,Not RSPO Certified,PO1000000262,KL-KEPONG (SABAH) SDN BERHAD,Malaysia,Sabah,Lahad Datu,unspecified,1-Fully Verified,{7D39CD09-F211-483E-8057-6865EED481EE},KUALA LUMPUR KEPONG (KLK)
5.08395,118.58825,3161,LUNGMANIS,5.08395,118.58825,"RSPO Certified, IP",RSPO Certified,PO1000000263,KL-KEPONG (SABAH) SDN BERHAD,Malaysia,Sabah,Lahad Datu,unspecified,1-Fully Verified,{AF9D09A2-FD93-44B5-8C89-A6B2204D974C},KUALA LUMPUR KEPONG (KLK)
3.87897,102.81547,3162,LEPAR UTARA 4,3.87897,102.81547,unspecified,Not RSPO Certified,PO1000000272,FGV PALM INDUSTRIES SDN BHD,Malaysia,Pahang,Kuantan,unspecified,1-Fully Verified,{F25BDC05-BFCC-4FB1-AC90-FBEECA80359B},FGV HOLDINGS BERHAD
-1.5851,103.20122,3163,MUARA BULIAN,-1.5851,103.20122,"RSPO Certified, MB",RSPO Certified,PO1000000279,INTI INDOSAWIT SUBUR,Indonesia,Jambi,Batang Hari,unspecified,1-Fully Verified,{F0B3F451-7C57-4168-A8C8-F7AF37432DF9},ROYAL GOLDEN EAGLE
2.73511,102.4085,3164,JERAM PADANG,2.73511,102.4085,"RSPO Certified, IP",RSPO Certified,PO1000000280,KUALA LUMPUR KEPONG BERHAD,Malaysia,Negeri Sembilan,Jempol,unspecified,1-Fully Verified,{50DCEB12-4BE9-417C-BB33-FC45886CF7D1},KUALA LUMPUR KEPONG (KLK)
2.10305,99.94766,3165,PANGKATAN,2.10305,99.94766,"RSPO Certified, MB",RSPO Certified,PO1000000283,PANGKATAN INDONESIA,Indonesia,Sumatera Utara,Labuhanbatu,unspecified,1-Fully Verified,{71454236-0026-4D96-B087-98826DA552A9},MP EVANS
-3.83663,104.96952,3166,BELIDA,-3.83663,104.96952,unspecified,Not RSPO Certified,PO1000000284,AEK TARUM,Indonesia,Sumatera Selatan,Ogan Komering Ilir,unspecified,1-Fully Verified,{5D467ACC-4F07-4EA9-AD3A-6A91B87ACC23},SAMPOERNA AGRO
-1.59584,112.59883,3167,UNGGUL LESTARI,-1.59584,112.59883,"RSPO Certified, IP",RSPO Certified,PO1000000286,UNGGUL LESTARI,Indonesia,Kalimantan Tengah,Kotawaringin Timur,unspecified,1-Fully Verified,{3BA30488-6BA3-4958-86D6-CDE81F9718AE},MUSIM MAS
3.92806,100.85722,3168,FLEMINGTON (SOU 4),3.92806,100.85722,"RSPO Certified, MB",RSPO Certified,PO1000000294,SIME DARBY PLANTATION BHD,Malaysia,Perak,Hilir Perak,unspecified,1-Fully Verified,{CE1946A1-1724-4DED-B375-FD129EAD56B7},SIME DARBY
3.56944,102.27833,3169,KERDAU (SOU 11),3.56944,102.27833,"RSPO Certified, MB",RSPO Certified,PO1000000295,SIME DARBY PLANTATION BHD,Malaysia,Pahang,Temerloh,unspecified,1-Fully Verified,{85231A13-9E32-4DC1-9542-D44308CBA8BF},SIME DARBY
2.78467,102.50417,3170,KOK FOH (SOU 16),2.78467,102.50417,"RSPO Certified, MB",RSPO Certified,PO1000000296,SIME DARBY PLANTATION BHD,Malaysia,Negeri Sembilan,Jempol,unspecified,1-Fully Verified,{667756B8-EBF9-4F8A-BB6E-EDAC413F3CD3},SIME DARBY
2.74889,101.8045,3171,LABU (SOU 13),2.74889,101.8045,"RSPO Certified, IP",RSPO Certified,PO1000000297,SIME DARBY PLANTATION BHD,Malaysia,Negeri Sembilan,Seremban,unspecified,1-Fully Verified,{1541642C-E7A3-481C-983C-6C4BBB78A957},SIME DARBY
2.52833,101.89528,3172,SUA BETONG (SOU 15),2.52833,101.89528,"RSPO Certified, IP",RSPO Certified,PO1000000298,SIME DARBY PLANTATION BHD,Malaysia,Negeri Sembilan,Port Dickson,unspecified,1-Fully Verified,{099C27BD-DC2A-4DFC-A89E-DBCDE07B24BF},SIME DARBY
5.23079,115.98626,3173,MELALAP (SOU 27),5.23079,115.98626,"RSPO Certified, MB",RSPO Certified,PO1000000300,SIME DARBY PLANTATION BHD,Malaysia,Sabah,Tenom,unspecified,1-Fully Verified,{1B8EF467-20A6-48A2-B162-82EF5B6A9949},SIME DARBY
